Zip,Offence,count,x_coordinate,y_coordinate
78613,"Agg Assault",1,30.5119,-97.8178
78613,"Auto Theft",6,30.5119,-97.8178
78613,Burglary,8,30.5119,-97.8178
78613,Robbery,7,30.5119,-97.8178
78613,Theft,366,30.5119,-97.8178
78617,"Agg Assault",26,30.1472,-97.5897
78617,"Auto Theft",24,30.1472,-97.5897
78617,Burglary,53,30.1472,-97.5897
78617,Robbery,6,30.1472,-97.5897
78617,Theft,166,30.1472,-97.5897
78652,Burglary,2,30.1359,-97.8776
78652,Theft,11,30.1359,-97.8776
78653,"Agg Assault",1,30.3332,-97.5464
78653,"Auto Theft",1,30.3332,-97.5464
78653,Burglary,4,30.3332,-97.5464
78653,Robbery,1,30.3332,-97.5464
78653,Theft,19,30.3332,-97.5464
78660,"Agg Assault",6,30.4332,-97.6006
78660,"Auto Theft",7,30.4332,-97.6006
78660,Burglary,16,30.4332,-97.6006
78660,Robbery,3,30.4332,-97.6006
78660,Theft,82,30.4332,-97.6006
78701,"Agg Assault",105,30.2729,-97.7444
78701,"Auto Theft",72,30.2729,-97.7444
78701,Burglary,79,30.2729,-97.7444
78701,Murder,1,30.2729,-97.7444
78701,Robbery,89,30.2729,-97.7444
78701,Theft,1718,30.2729,-97.7444
78702,"Agg Assault",98,30.2604,-97.7145
78702,"Auto Theft",81,30.2604,-97.7145
78702,Burglary,208,30.2604,-97.7145
78702,Murder,3,30.2604,-97.7145
78702,Robbery,52,30.2604,-97.7145
78702,Theft,1211,30.2604,-97.7145
78703,"Agg Assault",10,30.2915,-97.7688
78703,"Auto Theft",23,30.2915,-97.7688
78703,Burglary,78,30.2915,-97.7688
78703,Robbery,8,30.2915,-97.7688
78703,Theft,610,30.2915,-97.7688
78704,"Agg Assault",79,30.2457,-97.7688
78704,"Auto Theft",157,30.2457,-97.7688
78704,Burglary,293,30.2457,-97.7688
78704,Robbery,44,30.2457,-97.7688
78704,Theft,1974,30.2457,-97.7688
78705,"Agg Assault",34,30.2962,-97.739
78705,"Auto Theft",78,30.2962,-97.739
78705,Burglary,108,30.2962,-97.739
78705,Murder,1,30.2962,-97.739
78705,Robbery,15,30.2962,-97.739
78705,Theft,1097,30.2962,-97.739
78712,Robbery,1,30.2835,-97.7349
78712,Theft,2,30.2835,-97.7349
78717,"Agg Assault",10,30.4917,-97.7743
78717,"Auto Theft",8,30.4917,-97.7743
78717,Burglary,41,30.4917,-97.7743
78717,Robbery,1,30.4917,-97.7743
78717,Theft,176,30.4917,-97.7743
78719,"Agg Assault",3,30.159,-97.6819
78719,"Auto Theft",37,30.159,-97.6819
78719,Burglary,2,30.159,-97.6819
78719,Theft,144,30.159,-97.6819
78721,"Agg Assault",50,30.2737,-97.6819
78721,"Auto Theft",23,30.2737,-97.6819
78721,Burglary,102,30.2737,-97.6819
78721,Murder,1,30.2737,-97.6819
78721,Robbery,14,30.2737,-97.6819
78721,Theft,288,30.2737,-97.6819
78722,"Agg Assault",16,30.292,-97.7118
78722,"Auto Theft",23,30.292,-97.7118
78722,Burglary,39,30.292,-97.7118
78722,Robbery,12,30.292,-97.7118
78722,Theft,239,30.292,-97.7118
78723,"Agg Assault",128,30.3081,-97.6819
78723,"Auto Theft",94,30.3081,-97.6819
78723,Burglary,331,30.3081,-97.6819
78723,Murder,1,30.3081,-97.6819
78723,Robbery,73,30.3081,-97.6819
78723,Theft,1472,30.3081,-97.6819
78724,"Agg Assault",65,30.2944,-97.6223
78724,"Auto Theft",37,30.2944,-97.6223
78724,Burglary,104,30.2944,-97.6223
78724,Robbery,22,30.2944,-97.6223
78724,Theft,320,30.2944,-97.6223
78725,"Agg Assault",2,30.2317,-97.6168
78725,"Auto Theft",1,30.2317,-97.6168
78725,Burglary,4,30.2317,-97.6168
78725,Robbery,1,30.2317,-97.6168
78725,Theft,36,30.2317,-97.6168
78726,"Agg Assault",10,30.4191,-97.8395
78726,"Auto Theft",9,30.4191,-97.8395
78726,Burglary,34,30.4191,-97.8395
78726,Robbery,8,30.4191,-97.8395
78726,Theft,171,30.4191,-97.8395
78727,"Agg Assault",23,30.4322,-97.7145
78727,"Auto Theft",27,30.4322,-97.7145
78727,Burglary,97,30.4322,-97.7145
78727,Robbery,4,30.4322,-97.7145
78727,Theft,383,30.4322,-97.7145
78728,"Agg Assault",1,30.4571,-97.6819
78728,Theft,12,30.4571,-97.6819
78729,"Agg Assault",19,30.4647,-97.7471
78729,"Auto Theft",25,30.4647,-97.7471
78729,Burglary,68,30.4647,-97.7471
78729,Robbery,9,30.4647,-97.7471
78729,Theft,368,30.4647,-97.7471
78730,"Agg Assault",1,30.3733,-97.8395
78730,"Auto Theft",2,30.3733,-97.8395
78730,Burglary,5,30.3733,-97.8395
78730,Theft,39,30.3733,-97.8395
78731,"Agg Assault",11,30.3542,-97.7743
78731,"Auto Theft",17,30.3542,-97.7743
78731,Burglary,58,30.3542,-97.7743
78731,Murder,1,30.3542,-97.7743
78731,Robbery,3,30.3542,-97.7743
78731,Theft,471,30.3542,-97.7743
78732,Theft,1,30.3789,-97.8924
78733,Theft,1,30.3315,-97.8667
78735,"Agg Assault",22,30.2573,-97.8613
78735,"Auto Theft",14,30.2573,-97.8613
78735,Burglary,59,30.2573,-97.8613
78735,Robbery,2,30.2573,-97.8613
78735,Theft,200,30.2573,-97.8613
78736,"Agg Assault",3,30.2521,-97.9484
78736,"Auto Theft",1,30.2521,-97.9484
78736,Burglary,18,30.2521,-97.9484
78736,Theft,49,30.2521,-97.9484
78737,"Agg Assault",2,30.182,-97.9702
78737,Theft,2,30.182,-97.9702
78739,"Auto Theft",7,30.1859,-97.9048
78739,Burglary,19,30.1859,-97.9048
78739,Theft,157,30.1859,-97.9048
78741,"Agg Assault",239,30.2259,-97.7145
78741,"Auto Theft",162,30.2259,-97.7145
78741,Burglary,429,30.2259,-97.7145
78741,Murder,1,30.2259,-97.7145
78741,Robbery,128,30.2259,-97.7145
78741,Theft,1960,30.2259,-97.7145
78742,"Agg Assault",4,30.2406,-97.6602
78742,"Auto Theft",2,30.2406,-97.6602
78742,Burglary,5,30.2406,-97.6602
78742,Robbery,2,30.2406,-97.6602
78742,Theft,17,30.2406,-97.6602
78744,"Agg Assault",142,30.18,-97.73
78744,"Auto Theft",131,30.18,-97.73
78744,Burglary,312,30.18,-97.73
78744,Murder,2,30.18,-97.73
78744,Robbery,51,30.18,-97.73
78744,Theft,1256,30.18,-97.73
78745,"Agg Assault",141,30.2154,-97.796
78745,"Auto Theft",143,30.2154,-97.796
78745,Burglary,377,30.2154,-97.796
78745,Murder,4,30.2154,-97.796
78745,Robbery,34,30.2154,-97.796
78745,Theft,1699,30.2154,-97.796
78746,"Agg Assault",5,30.2962,-97.8299
78746,"Auto Theft",32,30.2962,-97.8299
78746,Burglary,54,30.2962,-97.8299
78746,Robbery,10,30.2962,-97.8299
78746,Theft,710,30.2962,-97.8299
78747,"Agg Assault",21,30.1275,-97.7308
78747,"Auto Theft",18,30.1275,-97.7308
78747,Burglary,75,30.1275,-97.7308
78747,Robbery,1,30.1275,-97.7308
78747,Theft,156,30.1275,-97.7308
78748,"Agg Assault",41,30.1682,-97.8178
78748,"Auto Theft",58,30.1682,-97.8178
78748,Burglary,137,30.1682,-97.8178
78748,Robbery,21,30.1682,-97.8178
78748,Theft,1266,30.1682,-97.8178
78749,"Agg Assault",28,30.2175,-97.8558
78749,"Auto Theft",40,30.2175,-97.8558
78749,Burglary,71,30.2175,-97.8558
78749,Robbery,11,30.2175,-97.8558
78749,Theft,685,30.2175,-97.8558
78750,"Agg Assault",13,30.4271,-97.8014
78750,"Auto Theft",10,30.4271,-97.8014
78750,Burglary,59,30.4271,-97.8014
78750,Robbery,3,30.4271,-97.8014
78750,Theft,324,30.4271,-97.8014
78751,"Agg Assault",24,30.3056,-97.7254
78751,"Auto Theft",51,30.3056,-97.7254
78751,Burglary,95,30.3056,-97.7254
78751,Robbery,14,30.3056,-97.7254
78751,Theft,728,30.3056,-97.7254
78752,"Agg Assault",81,30.3317,-97.7052
78752,"Auto Theft",86,30.3317,-97.7052
78752,Burglary,175,30.3317,-97.7052
78752,Murder,3,30.3317,-97.7052
78752,Robbery,45,30.3317,-97.7052
78752,Theft,770,30.3317,-97.7052
78753,"Agg Assault",183,30.389,-97.6711
78753,"Auto Theft",170,30.389,-97.6711
78753,Burglary,449,30.389,-97.6711
78753,Murder,3,30.389,-97.6711
78753,Robbery,100,30.389,-97.6711
78753,Theft,2526,30.389,-97.6711
78754,"Agg Assault",21,30.3559,-97.6494
78754,"Auto Theft",24,30.3559,-97.6494
78754,Burglary,90,30.3559,-97.6494
78754,Murder,1,30.3559,-97.6494
78754,Robbery,3,30.3559,-97.6494
78754,Theft,280,30.3559,-97.6494
78756,"Agg Assault",6,30.3248,-97.739
78756,"Auto Theft",17,30.3248,-97.739
78756,Burglary,65,30.3248,-97.739
78756,Robbery,5,30.3248,-97.739
78756,Theft,257,30.3248,-97.739
78757,"Agg Assault",35,30.3568,-97.7308
78757,"Auto Theft",61,30.3568,-97.7308
78757,Burglary,157,30.3568,-97.7308
78757,Robbery,19,30.3568,-97.7308
78757,Theft,908,30.3568,-97.7308
78758,"Agg Assault",165,30.3871,-97.7037
78758,"Auto Theft",176,30.3871,-97.7037
78758,Burglary,365,30.3871,-97.7037
78758,Murder,1,30.3871,-97.7037
78758,Robbery,93,30.3871,-97.7037
78758,Theft,1721,30.3871,-97.7037
78759,"Agg Assault",24,30.4014,-97.7525
78759,"Auto Theft",53,30.4014,-97.7525
78759,Burglary,175,30.4014,-97.7525
78759,Robbery,16,30.4014,-97.7525
78759,Theft,1128,30.4014,-97.7525
